NAV,NAV date
17.54,27-Apr-16
17.3,28-Apr-16
17.31,29-Apr-16
17.31,02-May-16
17.2,03-May-16
17.07,04-May-16
17.14,05-May-16
17.18,06-May-16
17.4,09-May-16
17.41,10-May-16
17.5,11-May-16
17.64,12-May-16
17.56,13-May-16
17.65,16-May-16
17.68,17-May-16
17.59,18-May-16
17.5,19-May-16
17.37,20-May-16
17.28,23-May-16
17.18,24-May-16
17.45,25-May-16
17.68,26-May-16
17.88,27-May-16
18,30-May-16
17.93,31-May-16
17.98,01-Jun-16
18.11,02-Jun-16
18.04,03-Jun-16
18.05,06-Jun-16
18.18,07-Jun-16
18.2,08-Jun-16
18.1,09-Jun-16
17.99,10-Jun-16
17.93,13-Jun-16
17.93,14-Jun-16
18.08,15-Jun-16
18.02,16-Jun-16
18.05,17-Jun-16
18.19,20-Jun-16
18.17,21-Jun-16
18.13,22-Jun-16
18.28,23-Jun-16
17.89,24-Jun-16
17.88,27-Jun-16
17.94,28-Jun-16
18.18,29-Jun-16
18.38,30-Jun-16
18.42,01-Jul-16
18.51,04-Jul-16
18.42,05-Jul-16
18.35,07-Jul-16
18.4,08-Jul-16
18.66,11-Jul-16
18.7,12-Jul-16
18.63,13-Jul-16
18.72,14-Jul-16
18.7,15-Jul-16
18.71,18-Jul-16
18.76,19-Jul-16
18.87,20-Jul-16
18.87,21-Jul-16
18.99,22-Jul-16
19.13,25-Jul-16
19.08,26-Jul-16
19.23,27-Jul-16
19.41,28-Jul-16
19.42,29-Jul-16
19.57,01-Aug-16
19.58,02-Aug-16
19.25,03-Aug-16
19.36,04-Aug-16
19.61,05-Aug-16
19.69,08-Aug-16
19.67,09-Aug-16
19.4,10-Aug-16
19.37,11-Aug-16
19.48,12-Aug-16
19.43,16-Aug-16
19.42,17-Aug-16
19.49,18-Aug-16
19.45,19-Aug-16
19.39,22-Aug-16
19.37,23-Aug-16
19.45,24-Aug-16
19.41,25-Aug-16
19.53,26-Aug-16
19.55,29-Aug-16
19.74,30-Aug-16
19.97,31-Aug-16
20.01,01-Sep-16
20.02,02-Sep-16
20.33,06-Sep-16
20.23,07-Sep-16
20.3,08-Sep-16
20.16,09-Sep-16
19.81,12-Sep-16
19.81,14-Sep-16
19.83,15-Sep-16
19.94,16-Sep-16
19.92,19-Sep-16
19.85,20-Sep-16
19.8,21-Sep-16
20.03,22-Sep-16
20.02,23-Sep-16
19.93,26-Sep-16
19.89,27-Sep-16
19.95,28-Sep-16
19.61,29-Sep-16
19.79,30-Sep-16
20.32,03-Oct-16
20.39,04-Oct-16
20.44,05-Oct-16
20.38,06-Oct-16
20.34,07-Oct-16
20.31,10-Oct-16
20.03,13-Oct-16
20.09,14-Oct-16
19.87,17-Oct-16
20.12,18-Oct-16
